CartoSanté; ; 
Référentiel géographique : France par commune et arrondissement mun.; ; 
Code;Libellé;Zonage sages-femmes
01272;Neuville-les-Dames;3_intermediaire
01273;Neuville-sur-Ain;3_intermediaire
01274;Les Neyrolles;3_intermediaire
01275;Neyron;3_intermediaire
01276;Niévroz;3_intermediaire
01277;Nivollet-Montgriffon;3_intermediaire
01279;Oncieu;3_intermediaire
01280;Ordonnaz;3_intermediaire
01281;Ornex;3_intermediaire
01282;Outriaz;3_intermediaire
01283;Oyonnax;3_intermediaire
01284;Ozan;3_intermediaire
01285;Parcieux;5_Sur_dotee
01286;Parves et Nattages;3_intermediaire
01288;Péron;3_intermediaire
01289;Péronnas;4_Tres_dotee
01290;Pérouges;3_intermediaire
01291;Perrex;3_intermediaire
01293;Peyriat;3_intermediaire
01294;Peyrieu;3_intermediaire
01295;Peyzieux-sur-Saône;4_Tres_dotee
01296;Pirajoux;3_intermediaire
01297;Pizay;4_Tres_dotee
01298;Plagne;3_intermediaire
01299;Le Plantay;3_intermediaire
01301;Polliat;4_Tres_dotee
01302;Pollieu;3_intermediaire
01303;Poncin;3_intermediaire
01304;Pont-d'Ain;5_Sur_dotee
01305;Pont-de-Vaux;3_intermediaire
01306;Pont-de-Veyle;3_intermediaire
01307;Port;3_intermediaire
01308;Pougny;3_intermediaire
01309;Pouillat;3_intermediaire
01310;Prémeyzel;3_intermediaire
01311;Prémillieu;3_intermediaire
01313;Prévessin-Moëns;3_intermediaire
01314;Priay;3_intermediaire
01317;Ramasse;3_intermediaire
01318;Rancé;4_Tres_dotee
01319;Relevant;3_intermediaire
01320;Replonges;4_Tres_dotee
01321;Revonnas;3_intermediaire
01322;Reyrieux;5_Sur_dotee
01323;Reyssouze;3_intermediaire
01325;Rignieux-le-Franc;3_intermediaire
01328;Romans;3_intermediaire
01329;Rossillon;3_intermediaire
01330;Ruffieu;3_intermediaire
01331;Saint-Alban;3_intermediaire
01332;Saint-André-de-Bâgé;4_Tres_dotee
01333;Saint-André-de-Corcy;3_intermediaire
01334;Saint-André-d'Huiriat;3_intermediaire
01335;Saint-André-le-Bouchoux;3_intermediaire
01336;Saint-André-sur-Vieux-Jonc;3_intermediaire
01337;Saint-Bénigne;3_intermediaire
01338;Groslée-Saint-Benoit;3_intermediaire
01339;Saint-Bernard;5_Sur_dotee
01342;Sainte-Croix;4_Tres_dotee
01343;Saint-Cyr-sur-Menthon;3_intermediaire
01344;Saint-Denis-lès-Bourg;4_Tres_dotee
01345;Saint-Denis-en-Bugey;3_intermediaire
01346;Saint-Didier-d'Aussiat;3_intermediaire
01347;Saint-Didier-de-Formans;5_Sur_dotee
01348;Saint-Didier-sur-Chalaronne;4_Tres_dotee
01349;Saint-Éloi;3_intermediaire
01350;Saint-Étienne-du-Bois;3_intermediaire
01351;Saint-Étienne-sur-Chalaronne;3_intermediaire
01352;Saint-Étienne-sur-Reyssouze;3_intermediaire
01353;Sainte-Euphémie;5_Sur_dotee
01354;Saint-Genis-Pouilly;3_intermediaire
01355;Saint-Genis-sur-Menthon;3_intermediaire
01356;Saint-Georges-sur-Renon;3_intermediaire
01357;Saint-Germain-de-Joux;3_intermediaire
01358;Saint-Germain-les-Paroisses;3_intermediaire
01359;Saint-Germain-sur-Renon;3_intermediaire
01360;Saint-Jean-de-Gonville;3_intermediaire
01361;Saint-Jean-de-Niost;3_intermediaire
01362;Saint-Jean-de-Thurigneux;3_intermediaire
01363;Saint-Jean-le-Vieux;3_intermediaire
01364;Saint-Jean-sur-Reyssouze;3_intermediaire
01365;Saint-Jean-sur-Veyle;3_intermediaire
01366;Sainte-Julie;3_intermediaire
01367;Saint-Julien-sur-Reyssouze;3_intermediaire
01368;Saint-Julien-sur-Veyle;3_intermediaire
01369;Saint-Just;3_intermediaire
01370;Saint-Laurent-sur-Saône;3_intermediaire
01371;Saint-Marcel;3_intermediaire
01372;Saint-Martin-de-Bavel;3_intermediaire
01373;Saint-Martin-du-Frêne;3_intermediaire
01374;Saint-Martin-du-Mont;3_intermediaire
01375;Saint-Martin-le-Châtel;3_intermediaire
01376;Saint-Maurice-de-Beynost;3_intermediaire
01378;Saint-Maurice-de-Gourdans;3_intermediaire
01379;Saint-Maurice-de-Rémens;3_intermediaire
