CartoSanté; ; 
Référentiel géographique : France par commune et arrondissement mun.; ; 
Code;Libellé;Zonage orthophonistes
01334;Saint-André-d'Huiriat;3_intermediaire
01335;Saint-André-le-Bouchoux;3_intermediaire
01336;Saint-André-sur-Vieux-Jonc;1b_Sous_dense
01337;Saint-Bénigne;3_intermediaire
01338;Groslée-Saint-Benoit;1b_Sous_dense
01339;Saint-Bernard;4_Tres_dotee
01342;Sainte-Croix;3_intermediaire
01343;Saint-Cyr-sur-Menthon;4_Tres_dotee
01344;Saint-Denis-lès-Bourg;3_intermediaire
01345;Saint-Denis-en-Bugey;3_intermediaire
01346;Saint-Didier-d'Aussiat;1b_Sous_dense
01347;Saint-Didier-de-Formans;4_Tres_dotee
01348;Saint-Didier-sur-Chalaronne;3_intermediaire
01349;Saint-Éloi;5_Sur_dotee
01350;Saint-Étienne-du-Bois;1b_Sous_dense
01351;Saint-Étienne-sur-Chalaronne;3_intermediaire
01352;Saint-Étienne-sur-Reyssouze;3_intermediaire
01353;Sainte-Euphémie;4_Tres_dotee
01354;Saint-Genis-Pouilly;1b_Sous_dense
01355;Saint-Genis-sur-Menthon;3_intermediaire
01356;Saint-Georges-sur-Renon;3_intermediaire
01357;Saint-Germain-de-Joux;1b_Sous_dense
01358;Saint-Germain-les-Paroisses;3_intermediaire
01359;Saint-Germain-sur-Renon;3_intermediaire
01360;Saint-Jean-de-Gonville;1b_Sous_dense
01361;Saint-Jean-de-Niost;5_Sur_dotee
01362;Saint-Jean-de-Thurigneux;3_intermediaire
01363;Saint-Jean-le-Vieux;3_intermediaire
01364;Saint-Jean-sur-Reyssouze;3_intermediaire
01365;Saint-Jean-sur-Veyle;3_intermediaire
01366;Sainte-Julie;3_intermediaire
01367;Saint-Julien-sur-Reyssouze;1b_Sous_dense
01368;Saint-Julien-sur-Veyle;3_intermediaire
01369;Saint-Just;1b_Sous_dense
01370;Saint-Laurent-sur-Saône;4_Tres_dotee
01371;Saint-Marcel;5_Sur_dotee
01372;Saint-Martin-de-Bavel;3_intermediaire
01373;Saint-Martin-du-Frêne;1b_Sous_dense
01374;Saint-Martin-du-Mont;1b_Sous_dense
01375;Saint-Martin-le-Châtel;1b_Sous_dense
01376;Saint-Maurice-de-Beynost;3_intermediaire
01378;Saint-Maurice-de-Gourdans;5_Sur_dotee
01379;Saint-Maurice-de-Rémens;3_intermediaire
01380;Saint-Nizier-le-Bouchoux;1b_Sous_dense
01381;Saint-Nizier-le-Désert;3_intermediaire
01382;Sainte-Olive;3_intermediaire
01383;Saint-Paul-de-Varax;3_intermediaire
01384;Saint-Rambert-en-Bugey;3_intermediaire
01385;Saint-Rémy;3_intermediaire
01386;Saint-Sorlin-en-Bugey;3_intermediaire
01387;Saint-Sulpice;1b_Sous_dense
01388;Saint-Trivier-de-Courtes;3_intermediaire
01389;Saint-Trivier-sur-Moignans;3_intermediaire
01390;Saint-Vulbas;3_intermediaire
01391;Salavre;1b_Sous_dense
01392;Samognat;3_intermediaire
01393;Sandrans;3_intermediaire
01396;Sault-Brénaz;1b_Sous_dense
01397;Sauverny;1b_Sous_dense
01398;Savigneux;3_intermediaire
01399;Ségny;1b_Sous_dense
01400;Seillonnaz;1b_Sous_dense
01401;Sergy;1b_Sous_dense
01402;Sermoyer;1b_Sous_dense
01403;Serrières-de-Briord;1b_Sous_dense
01404;Serrières-sur-Ain;3_intermediaire
01405;Servas;1b_Sous_dense
01406;Servignat;3_intermediaire
01407;Seyssel;3_intermediaire
01408;Simandre-sur-Suran;1b_Sous_dense
01410;Sonthonnax-la-Montagne;3_intermediaire
01411;Souclin;3_intermediaire
01412;Sulignat;3_intermediaire
01415;Talissieu;3_intermediaire
01416;Tenay;3_intermediaire
01418;Thil;3_intermediaire
01419;Thoiry;1b_Sous_dense
01420;Thoissey;3_intermediaire
01421;Torcieu;3_intermediaire
01422;Tossiat;1b_Sous_dense
01423;Toussieux;4_Tres_dotee
01424;Tramoyes;3_intermediaire
01425;La Tranclière;1b_Sous_dense
01426;Val-Revermont;1b_Sous_dense
01427;Trévoux;4_Tres_dotee
01428;Valeins;3_intermediaire
01429;Vandeins;3_intermediaire
01430;Varambon;3_intermediaire
01431;Vaux-en-Bugey;3_intermediaire
01432;Verjon;1b_Sous_dense
01433;Vernoux;3_intermediaire
01434;Versailleux;3_intermediaire
01435;Versonnex;1b_Sous_dense
01436;Vesancy;1b_Sous_dense
01437;Vescours;3_intermediaire
01439;Vésines;3_intermediaire
01441;Vieu-d'Izenave;1b_Sous_dense
01443;Villars-les-Dombes;3_intermediaire
01444;Villebois;1b_Sous_dense
01445;Villemotier;1b_Sous_dense
01446;Villeneuve;3_intermediaire
01447;Villereversure;1b_Sous_dense
01448;Villes;1b_Sous_dense
01449;Villette-sur-Ain;3_intermediaire
01450;Villieu-Loyes-Mollon;5_Sur_dotee
01451;Viriat;3_intermediaire
01452;Virieu-le-Grand;3_intermediaire
01453;Arvière-en-Valromey;3_intermediaire
01454;Virignin;3_intermediaire
01456;Vongnes;3_intermediaire
01457;Vonnas;3_intermediaire
02001;Abbécourt;1b_Sous_dense
02002;Achery;1b_Sous_dense
02003;Acy;1b_Sous_dense
02004;Agnicourt-et-Séchelles;3_intermediaire
02005;Aguilcourt;3_intermediaire
02006;Aisonville-et-Bernoville;1b_Sous_dense
02007;Aizelles;1b_Sous_dense
02008;Aizy-Jouy;1b_Sous_dense
02009;Alaincourt;3_intermediaire
02010;Allemant;1b_Sous_dense
02011;Ambleny;3_intermediaire
02012;Ambrief;3_intermediaire
02013;Amifontaine;1b_Sous_dense
02014;Amigny-Rouy;1b_Sous_dense
02015;Ancienville;1b_Sous_dense
02016;Andelain;1b_Sous_dense
02017;Anguilcourt-le-Sart;1b_Sous_dense
02018;Anizy-le-Grand;1b_Sous_dense
02019;Annois;1b_Sous_dense
02020;Any-Martin-Rieux;3_intermediaire
02021;Archon;3_intermediaire
02022;Arcy-Sainte-Restitue;3_intermediaire
02023;Armentières-sur-Ourcq;3_intermediaire
02024;Arrancy;1b_Sous_dense
02025;Artemps;1b_Sous_dense
02027;Assis-sur-Serre;1b_Sous_dense
02028;Athies-sous-Laon;1b_Sous_dense
02029;Attilly;3_intermediaire
02030;Aubencheul-aux-Bois;1b_Sous_dense
02031;Aubenton;3_intermediaire
02032;Aubigny-aux-Kaisnes;1b_Sous_dense
02033;Aubigny-en-Laonnois;1b_Sous_dense
02034;Audignicourt;3_intermediaire
02035;Audigny;1b_Sous_dense
02036;Augy;1b_Sous_dense
02037;Aulnois-sous-Laon;1b_Sous_dense
02038;Les Autels;3_intermediaire
02039;Autremencourt;3_intermediaire
02040;Autreppes;3_intermediaire
02041;Autreville;1b_Sous_dense
02042;Azy-sur-Marne;3_intermediaire
02043;Bagneux;3_intermediaire
02044;Bancigny;3_intermediaire
02046;Barenton-Bugny;1b_Sous_dense
02047;Barenton-Cel;1b_Sous_dense
02048;Barenton-sur-Serre;1b_Sous_dense
02049;Barisis-aux-Bois;1b_Sous_dense
02050;Barzy-en-Thiérache;3_intermediaire
02051;Barzy-sur-Marne;3_intermediaire
02052;Bassoles-Aulers;1b_Sous_dense
02053;Vallées en Champagne;1b_Sous_dense
02054;Bazoches-et-Saint-Thibaut;1b_Sous_dense
02055;Beaumé;3_intermediaire
02056;Beaumont-en-Beine;1b_Sous_dense
02057;Beaurevoir;1b_Sous_dense
02058;Beaurieux;1b_Sous_dense
02059;Beautor;1b_Sous_dense
02060;Beauvois-en-Vermandois;3_intermediaire
02061;Becquigny;1b_Sous_dense
02062;Belleau;3_intermediaire
02063;Bellenglise;3_intermediaire
02064;Belleu;1b_Sous_dense
02065;Bellicourt;3_intermediaire
02066;Benay;3_intermediaire
02067;Bergues-sur-Sambre;3_intermediaire
02068;Berlancourt;3_intermediaire
02069;Berlise;3_intermediaire
02070;Bernot;1b_Sous_dense
02071;Berny-Rivière;3_intermediaire
02072;Berrieux;1b_Sous_dense
02073;Berry-au-Bac;3_intermediaire
02074;Bertaucourt-Epourdon;1b_Sous_dense
02075;Berthenicourt;3_intermediaire
02076;Bertricourt;3_intermediaire
02078;Besmé;1b_Sous_dense
02079;Besmont;3_intermediaire
02080;Besny-et-Loizy;1b_Sous_dense
02081;Béthancourt-en-Vaux;1b_Sous_dense
02082;Beugneux;3_intermediaire
02083;Beuvardes;3_intermediaire
02084;Bézu-le-Guéry;1b_Sous_dense
02085;Bézu-Saint-Germain;3_intermediaire
02086;Bichancourt;1b_Sous_dense
02087;Bieuxy;3_intermediaire
02088;Bièvres;1b_Sous_dense
02089;Billy-sur-Aisne;1b_Sous_dense
02090;Billy-sur-Ourcq;1b_Sous_dense
02091;Blanzy-lès-Fismes;1b_Sous_dense
02093;Blérancourt;1b_Sous_dense
02094;Blesmes;3_intermediaire
02095;Bohain-en-Vermandois;1b_Sous_dense
02096;Bois-lès-Pargny;1b_Sous_dense
02097;Boncourt;1b_Sous_dense
02098;Bonneil;3_intermediaire
02099;Bonnesvalyn;3_intermediaire
02100;Bony;1b_Sous_dense
02101;Bosmont-sur-Serre;3_intermediaire
02102;Bouconville-Vauclair;1b_Sous_dense
02103;Boué;3_intermediaire
02104;Bouffignereux;3_intermediaire
02105;Bouresches;3_intermediaire
02106;Bourg-et-Comin;1b_Sous_dense
02107;Bourguignon-sous-Coucy;1b_Sous_dense
02108;Bourguignon-sous-Montbavin;1b_Sous_dense
02109;La Bouteille;3_intermediaire
02110;Braine;1b_Sous_dense
02111;Brancourt-en-Laonnois;1b_Sous_dense
02112;Brancourt-le-Grand;1b_Sous_dense
02114;Brasles;3_intermediaire
02115;Braye-en-Laonnois;3_intermediaire
02116;Braye-en-Thiérache;3_intermediaire
02117;Bray-Saint-Christophe;1b_Sous_dense
02118;Braye;1b_Sous_dense
02119;Brécy;3_intermediaire
02120;Brenelle;1b_Sous_dense
02121;Breny;3_intermediaire
02122;Brie;1b_Sous_dense
02123;Brissay-Choigny;1b_Sous_dense
02124;Brissy-Hamégicourt;3_intermediaire
02125;Brumetz;1b_Sous_dense
02126;Brunehamel;3_intermediaire
02127;Bruyères-sur-Fère;3_intermediaire
02128;Bruyères-et-Montbérault;1b_Sous_dense
02129;Bruys;1b_Sous_dense
02130;Bucilly;3_intermediaire
02131;Bucy-le-Long;1b_Sous_dense
02132;Bucy-lès-Cerny;1b_Sous_dense
02133;Bucy-lès-Pierrepont;1b_Sous_dense
02134;Buire;3_intermediaire
02135;Buironfosse;3_intermediaire
02136;Burelles;3_intermediaire
02137;Bussiares;3_intermediaire
02138;Buzancy;3_intermediaire
02139;Caillouël-Crépigny;1b_Sous_dense
02140;Camelin;1b_Sous_dense
