CartoSanté; ; 
Référentiel géographique : France par commune et arrondissement mun.; ; 
Code;Libellé;Zonage kinés
01261;Monthieux;3_intermediaire
01262;Montluel;3_intermediaire
01263;Montmerle-sur-Saône;2_Sous_dotee
01264;Montracol;2_Sous_dotee
01265;Montréal-la-Cluse;2_Sous_dotee
01266;Montrevel-en-Bresse;1_Tres_sous_dotee
01267;Nurieux-Volognat;2_Sous_dotee
01268;Murs-et-Gélignieux;3_intermediaire
01269;Nantua;2_Sous_dotee
01272;Neuville-les-Dames;1_Tres_sous_dotee
01273;Neuville-sur-Ain;3_intermediaire
01274;Les Neyrolles;2_Sous_dotee
01275;Neyron;3_intermediaire
01276;Niévroz;3_intermediaire
01277;Nivollet-Montgriffon;3_intermediaire
01279;Oncieu;3_intermediaire
01280;Ordonnaz;3_intermediaire
01281;Ornex;1_Tres_sous_dotee
01282;Outriaz;2_Sous_dotee
01283;Oyonnax;3_intermediaire
01284;Ozan;1_Tres_sous_dotee
01285;Parcieux;3_intermediaire
01286;Parves et Nattages;1_Tres_sous_dotee
01288;Péron;1_Tres_sous_dotee
01289;Péronnas;3_intermediaire
01290;Pérouges;2_Sous_dotee
01291;Perrex;1_Tres_sous_dotee
01293;Peyriat;2_Sous_dotee
01294;Peyrieu;3_intermediaire
01295;Peyzieux-sur-Saône;2_Sous_dotee
01296;Pirajoux;1_Tres_sous_dotee
01297;Pizay;3_intermediaire
01298;Plagne;1_Tres_sous_dotee
01299;Le Plantay;2_Sous_dotee
01301;Polliat;2_Sous_dotee
01302;Pollieu;3_intermediaire
01303;Poncin;3_intermediaire
01304;Pont-d'Ain;3_intermediaire
01305;Pont-de-Vaux;1_Tres_sous_dotee
01306;Pont-de-Veyle;3_intermediaire
01307;Port;2_Sous_dotee
01308;Pougny;1_Tres_sous_dotee
01309;Pouillat;1_Tres_sous_dotee
01310;Prémeyzel;3_intermediaire
01311;Prémillieu;3_intermediaire
01313;Prévessin-Moëns;1_Tres_sous_dotee
01314;Priay;3_intermediaire
01317;Ramasse;1_Tres_sous_dotee
01318;Rancé;3_intermediaire
01319;Relevant;1_Tres_sous_dotee
01320;Replonges;3_intermediaire
01321;Revonnas;1_Tres_sous_dotee
01322;Reyrieux;3_intermediaire
01323;Reyssouze;1_Tres_sous_dotee
01325;Rignieux-le-Franc;2_Sous_dotee
01328;Romans;1_Tres_sous_dotee
01329;Rossillon;3_intermediaire
01330;Ruffieu;3_intermediaire
01331;Saint-Alban;3_intermediaire
01332;Saint-André-de-Bâgé;3_intermediaire
01333;Saint-André-de-Corcy;3_intermediaire
01334;Saint-André-d'Huiriat;3_intermediaire
01335;Saint-André-le-Bouchoux;1_Tres_sous_dotee
01336;Saint-André-sur-Vieux-Jonc;1_Tres_sous_dotee
01337;Saint-Bénigne;1_Tres_sous_dotee
01338;Groslée-Saint-Benoit;2_Sous_dotee
01339;Saint-Bernard;3_intermediaire
01342;Sainte-Croix;3_intermediaire
01343;Saint-Cyr-sur-Menthon;3_intermediaire
01344;Saint-Denis-lès-Bourg;3_intermediaire
01345;Saint-Denis-en-Bugey;3_intermediaire
01346;Saint-Didier-d'Aussiat;1_Tres_sous_dotee
01347;Saint-Didier-de-Formans;3_intermediaire
01348;Saint-Didier-sur-Chalaronne;2_Sous_dotee
01349;Saint-Éloi;2_Sous_dotee
01350;Saint-Étienne-du-Bois;1_Tres_sous_dotee
01351;Saint-Étienne-sur-Chalaronne;1_Tres_sous_dotee
01352;Saint-Étienne-sur-Reyssouze;1_Tres_sous_dotee
01353;Sainte-Euphémie;3_intermediaire
01354;Saint-Genis-Pouilly;1_Tres_sous_dotee
01355;Saint-Genis-sur-Menthon;1_Tres_sous_dotee
01356;Saint-Georges-sur-Renon;1_Tres_sous_dotee
01357;Saint-Germain-de-Joux;1_Tres_sous_dotee
01358;Saint-Germain-les-Paroisses;3_intermediaire
01359;Saint-Germain-sur-Renon;2_Sous_dotee
01360;Saint-Jean-de-Gonville;1_Tres_sous_dotee
01361;Saint-Jean-de-Niost;2_Sous_dotee
01362;Saint-Jean-de-Thurigneux;3_intermediaire
01363;Saint-Jean-le-Vieux;3_intermediaire
01364;Saint-Jean-sur-Reyssouze;1_Tres_sous_dotee
01365;Saint-Jean-sur-Veyle;3_intermediaire
01366;Sainte-Julie;2_Sous_dotee
01367;Saint-Julien-sur-Reyssouze;1_Tres_sous_dotee
01368;Saint-Julien-sur-Veyle;1_Tres_sous_dotee
01369;Saint-Just;1_Tres_sous_dotee
01370;Saint-Laurent-sur-Saône;3_intermediaire
01371;Saint-Marcel;3_intermediaire
01372;Saint-Martin-de-Bavel;3_intermediaire
01373;Saint-Martin-du-Frêne;2_Sous_dotee
01374;Saint-Martin-du-Mont;1_Tres_sous_dotee
01375;Saint-Martin-le-Châtel;1_Tres_sous_dotee
01376;Saint-Maurice-de-Beynost;3_intermediaire
01378;Saint-Maurice-de-Gourdans;2_Sous_dotee
01379;Saint-Maurice-de-Rémens;3_intermediaire
01380;Saint-Nizier-le-Bouchoux;1_Tres_sous_dotee
01381;Saint-Nizier-le-Désert;1_Tres_sous_dotee
01382;Sainte-Olive;3_intermediaire
01383;Saint-Paul-de-Varax;1_Tres_sous_dotee
01384;Saint-Rambert-en-Bugey;3_intermediaire
01385;Saint-Rémy;3_intermediaire
01386;Saint-Sorlin-en-Bugey;3_intermediaire
01387;Saint-Sulpice;1_Tres_sous_dotee
01388;Saint-Trivier-de-Courtes;1_Tres_sous_dotee
01389;Saint-Trivier-sur-Moignans;1_Tres_sous_dotee
01390;Saint-Vulbas;3_intermediaire
01391;Salavre;1_Tres_sous_dotee
01392;Samognat;2_Sous_dotee
01393;Sandrans;1_Tres_sous_dotee
01396;Sault-Brénaz;1_Tres_sous_dotee
